race	address	registration	user_id	username	birthdate	name	residence	current_location	mail	sex
	"Pyšelská 244
148 46 Přimda"	09/07/2016, 00:00:00	1354	malyalexander	1968-09-14	Jaroslava Nováková	"Podle Náhonu 5
656 83 Rychnov u Jablonce nad Nisou"	(Decimal('-62.6461045'), Decimal('1.714148'))	cruzicka@volny.cz	
unspecified		2020/05/24	1006	okamotosatomi		山下 美加子		(Decimal('-88.1847325'), Decimal('42.590504'))	osamu65@yahoo.com	
	"Incrocio Rita, 89
61033, Fermignano (PU)"	2017/02/02	2038	galassointerminei	1927-07-24	Sandra Musatti		(Decimal('26.444037'), Decimal('-29.968669'))	sermontimassimo@poste.it	
	"Via Federigo, 139 Appartamento 0
80141, Napoli (NA)"	27 Apr 2021	1247	ferraramelissa		Amedeo Gigli		(Decimal('-14.554010'), Decimal('39.152872'))	grossimelissa@tele2.it	M
		04/30/2018, 00:00:00	2555	pedro-miguel02	1909-03-02	Sra. Maysa da Cruz		(Decimal('-76.0386815'), Decimal('-66.531628'))	freitasagatha@hotmail.com	
white	"Avenida Ryan Cavalcanti, 87
Floramar
25318-571 da Mota / AM"	2020-04-29	1725	vicente28	2010-08-28	Gustavo Moreira		(Decimal('54.8023035'), Decimal('32.566502'))	limaalice@gmail.com	
unspecified		2022/11/29	1780	rosenowjanos	1995-06-26	Dr. Elly Scholz	"Hedda-Rosemann-Platz 975
03721 Hohenstein-Ernstthal"	(Decimal('0.333172'), Decimal('-71.643067'))	romanaroehricht@yahoo.de	F
white		2021/08/29	2298	riosandrew		Donna Barron			anthony88@yahoo.com	
	"Isabelle-Wirth-Weg 408
90704 Roding"	2017/10/17	922	langerngunda		Ludger Hartung	"Lübsstraße 5
46376 Hechingen"	(Decimal('53.884924'), Decimal('41.478157'))	hermanndoerschner@web.de	M
black	"Residencial Milena Porto, 19
Conjunto São Francisco De Assis
21083-171 Carvalho Grande / MT"	2018/11/23	623	da-pazcarlos-eduardo	1937-06-26	Raquel Fernandes	"Núcleo Juan da Rosa, 41
Vila Nova Gameleira 1ª Seção
04901-076 Oliveira da Prata / TO"	(Decimal('-70.6006505'), Decimal('99.058858'))	gomeseduardo@ig.com.br	
	"Kukelská 2
311 80 Kraslice"	20 Feb 2023	1531	dusekdavid	2003-06-01	Veronika Krejčová	"U Dobešky 751
784 58 Verneřice"	(Decimal('59.983780'), Decimal('156.422964'))	miloslavblaha@seznam.cz	
